color,shape,label,weight
purple,oval,1,0.291876
green,triangle,0,0.295190
yellow,triangle,1,0.836084
blue,circle,0,0.750797
yellow,square,1,0.035282
amber,circle,0,0.902950
orange,triangle,1,
amber,star,0,0.367739
red,oval,1,0.057132
green,circle,0,0.338458
yellow,triangle,1,0.866525
yellow,square,0,0.024340
green,circle,1,0.495964
orange,square,0,
amber,circle,1,0.235998
orange,triangle,0,0.704851
orange,oval,1,0.711314
orange,circle,0,0.792691
yellow,circle,1,0.781826
purple,star,0,0.530396
red,star,1,
orange,hexagon,0,0.498303
red,square,1,0.269238
amber,hexagon,0,0.839033
red,circle,1,0.301507
blue,star,0,0.822909
amber,circle,1,0.384752
amber,triangle,0,
blue,triangle,1,0.065863
yellow,triangle,0,0.523139
yellow,circle,1,0.214830
green,triangle,0,0.073257
yellow,star,1,0.959465
amber,hexagon,0,0.176083
purple,square,1,
