color,shape,label,weight
blue,oval,0,0.000538
green,hexagon,1,0.618945
green,circle,0,0.073106
purple,oval,1,0.162129
green,square,0,0.171997
yellow,square,1,0.492529
teal,triangle,0,
purple,oval,1,0.903897
teal,triangle,0,0.288648
orange,oval,1,0.991651
amber,star,0,0.194888
amber,oval,1,0.288875
yellow,oval,0,0.333396
orange,triangle,1,
red,triangle,0,0.292629
orange,circle,1,0.056299
blue,star,0,0.910630
red,square,1,0.288793
orange,square,0,0.999488
red,oval,1,0.957383
red,circle,0,
yellow,square,1,0.313816
blue,hexagon,0,0.135801
green,oval,1,0.727414
amber,star,0,0.989423
orange,circle,1,0.315727
blue,hexagon,0,0.692503
purple,circle,1,
teal,triangle,0,0.642358
yellow,circle,1,0.984143
amber,circle,0,0.988442
amber,circle,1,0.866310
purple,oval,0,0.828000
green,hexagon,1,0.233074
teal,hexagon,0,
