color,shape,label,weight
orange,oval,0,0.634778
amber,oval,1,0.181689
green,star,0,0.003163
red,star,1,0.168770
amber,oval,0,0.424803
purple,hexagon,1,0.848774
green,circle,0,
teal,triangle,1,0.846886
amber,square,0,0.754020
amber,triangle,1,0.052690
orange,square,0,0.386291
amber,oval,1,0.041546
red,oval,0,0.513901
yellow,circle,1,
green,hexagon,0,0.881243
blue,star,1,0.868503
teal,hexagon,0,0.239861
blue,square,1,0.416259
red,hexagon,0,0.443437
red,oval,1,0.849087
orange,circle,0,
yellow,triangle,1,0.239275
red,oval,0,0.852748
green,circle,1,0.834556
red,circle,0,0.155816
green,circle,1,0.300183
blue,triangle,0,0.140420
teal,triangle,1,
green,circle,0,0.487818
amber,square,1,0.803005
blue,square,0,0.768585
amber,oval,1,0.596033
amber,star,0,0.651226
purple,oval,1,0.538522
blue,oval,0,
