pressure,flow,power,efficiency
13.975440,73.507960,12.940972,84.701592
32.940240,62.281720,19.404268,82.456344
20.137600,23.183920,10.373432,74.636784
8.780320,51.184540,8.630582,80.236908
12.537760,41.913280,9.206432,78.382656
38.465200,65.399050,21.925985,83.079810
34.196600,44.908570,18.169497,
15.569360,49.141360,11.141880,79.828272
11.208440,35.234560,8.006832,77.046912
6.627600,55.140490,8.165089,81.028098
37.638600,44.843140,19.539754,78.968628
36.589120,64.368460,21.072494,82.873692
27.724040,83.597140,19.449330,86.719428
32.768920,78.942700,21.001838,
8.791440,16.317820,5.148358,73.263564
15.450040,67.377880,12.917804,83.475576
17.886880,95.474890,16.702241,89.094978
17.179360,71.905420,14.062286,84.381084
36.979520,25.261930,17.318001,75.052386
3.203120,62.441020,7.525350,82.488204
25.924320,39.291850,14.298913,
26.766520,99.908920,20.697500,89.981784
6.944680,24.864310,5.264303,74.972862
11.972080,14.160250,6.204857,72.832050
4.694840,37.673020,5.645238,77.534604
31.933800,26.156440,15.389164,75.231288
22.644200,33.102280,12.367908,76.620456
38.123800,21.685510,17.418071,
37.808760,59.566600,21.080164,81.913320
13.309160,36.797140,9.003378,77.359428
24.697160,61.334920,16.012356,82.266984
31.361440,75.683260,20.112902,85.136652
14.864320,67.406320,12.686360,83.481264
0.918400,36.748270,4.042187,77.349654
17.451240,92.230840,16.203580,
