pressure,flow,power,efficiency
9.118160,94.226410,13.069905,88.845282
23.081560,94.951720,18.727796,88.990344
18.563920,67.911130,14.216681,83.582226
4.877800,69.296140,8.880734,83.859228
9.816480,16.849720,5.611564,73.369944
10.764640,35.464780,7.852334,77.092956
17.694800,66.030580,13.680978,
33.792320,26.020000,16.118928,75.204000
26.341720,26.937550,13.230443,75.387510
13.920720,31.379050,8.706193,76.275810
4.917960,92.741680,11.241352,88.548336
1.199160,93.022210,9.781885,88.604442
8.338200,50.045140,8.339794,80.009028
15.979800,70.282090,13.420129,
24.546520,41.983210,14.016929,78.396642
24.933320,53.997850,15.373113,80.799570
14.808280,81.671410,14.090453,86.334282
13.747680,34.508980,8.949970,76.901796
39.022200,97.012720,25.310152,89.402544
19.547960,28.340560,10.653240,75.668112
28.988640,23.899690,13.985425,
29.947800,23.857840,14.364904,74.771568
37.270000,18.637930,16.771793,73.727586
39.326080,68.443660,22.574798,83.688732
28.903760,84.047050,19.966209,86.809410
8.819040,13.238470,4.851463,72.647694
38.824760,36.403840,19.170288,77.280768
2.020880,18.925750,2.700927,
14.379040,40.183840,9.770000,78.036768
21.233240,69.409630,15.434259,83.881926
29.470360,87.189850,20.507129,87.437970
14.374800,23.614480,8.111368,74.722896
36.857240,54.722440,20.215140,80.944488
25.806200,63.877690,16.710249,82.775538
10.514480,48.046330,9.010425,
