pressure,flow,power,efficiency
28.741280,71.451100,18.641622,84.290220
35.951520,53.134030,19.694011,80.626806
32.425200,83.309410,21.301021,86.661882
31.092640,93.732490,21.810305,88.746498
37.511400,62.618590,21.266419,82.523718
7.427960,13.941910,4.365375,72.788382
35.393440,12.371410,15.394517,
23.542240,85.172860,17.934182,87.034572
14.939760,28.619920,8.837896,75.723984
18.513360,79.957270,15.401071,85.991454
20.772000,92.838790,17.592679,88.567758
25.016880,19.417780,11.948530,73.883556
34.509360,61.695910,19.973335,82.339182
8.955080,53.327350,8.914767,
13.467920,81.449650,13.532133,86.289930
18.973440,15.091750,9.098551,73.018350
23.714160,57.372220,15.222886,81.474444
15.373480,14.804830,7.629875,72.960966
14.485520,93.266290,15.120837,88.653258
10.505760,14.275630,5.629867,72.855126
38.403920,30.112480,18.372816,
32.906640,85.105270,21.673183,87.021054
11.447960,35.097940,8.088978,77.019588
13.713840,18.735130,7.359049,73.747026
15.861960,60.983290,12.443113,82.196658
12.445560,89.859520,13.964176,87.971904
12.635080,16.298560,6.683888,73.259712
2.899960,90.554770,10.215461,
35.595040,52.116850,19.449701,80.423370
15.811240,50.019760,11.326472,80.003952
30.225640,85.477150,20.637971,87.095430
25.874200,79.372990,18.286979,85.874598
28.184440,44.760880,15.749864,78.952176
20.168000,86.036770,16.670877,87.207354
31.808280,34.755670,16.198879,
