input,power,efficiency
11.510220,16.607754,74.578356
18.920220,16.133772,85.363416
2.446500,13.410461,85.763610
23.695200,7.414470,75.630348
24.994320,14.225800,87.437520
27.312120,9.747296,77.220288
-17.765160,23.706844,
7.489740,3.354071,75.436686
9.711300,6.915668,83.048040
25.172460,14.783830,77.474988
-11.670480,25.589542,89.513388
-2.863800,4.690849,78.460290
-22.652760,4.750986,72.008244
-29.622240,17.407311,
-14.780640,10.512669,89.234874
14.578860,10.950996,78.077160
-22.535520,3.003906,74.799684
-8.914080,15.427807,76.656798
-1.448520,20.919787,85.979574
-12.736200,10.539919,73.411326
14.212140,21.097864,
-22.359660,12.800523,83.470230
24.967980,8.878496,72.879840
-17.893440,13.329545,73.393362
24.292080,12.782754,85.320900
-28.353660,14.567676,82.407672
-29.034360,6.512568,77.722704
29.377920,20.043779,
-1.720020,23.921605,87.292746
26.602080,15.436400,86.856480
13.947720,11.894506,77.812308
-1.201200,9.755604,87.736680
20.346120,14.390279,75.092526
-0.793680,15.839881,80.923122
-27.600780,21.460793,
