input,power,efficiency
18.157620,16.459625,86.505714
6.622800,15.194593,86.356098
-10.962120,1.293218,72.482148
25.954920,13.358223,77.033214
-15.533820,23.787184,87.777216
-16.211160,11.464076,81.971928
-4.910520,14.678603,
-19.646340,9.093413,80.337546
7.668240,8.051287,75.994254
7.549380,18.169388,84.556728
8.785500,17.741040,84.760128
28.763820,12.351332,78.062760
-23.944860,3.726331,77.159574
-25.196880,21.823460,
-18.064140,20.524539,80.718678
7.483260,20.098051,87.970374
-13.672980,8.328895,73.258686
-12.711900,21.575805,82.036890
17.758560,15.678467,80.259174
14.043600,16.940934,83.710764
12.400620,16.927182,
28.695540,8.780296,86.033808
17.042340,7.137095,81.739566
23.221800,11.065284,84.259944
-27.686640,8.971933,82.599354
-25.119480,3.056208,73.545408
20.437140,18.547950,76.730940
7.665900,7.909402,
8.505060,13.097365,89.989866
13.343100,4.081389,75.253626
8.259180,20.700729,88.417170
18.243540,17.146964,72.495432
10.763280,23.020596,88.836264
17.658240,5.446081,73.500354
-10.728120,12.992918,
