input,power,efficiency
23.977320,11.512921,88.576434
7.791600,19.632076,89.562744
7.843080,12.082819,83.455398
-23.801940,2.811592,73.838160
19.180620,15.946725,77.896746
-1.415520,15.461862,88.065900
-13.303320,13.541322,
11.446140,14.653161,84.731346
2.951040,9.596721,89.059266
-2.725140,7.260511,75.571038
20.587320,15.376838,78.895692
-24.088260,4.243191,76.459950
26.196420,18.799155,77.083110
-27.698280,11.791564,
3.811560,19.559779,79.506342
-17.071200,9.697554,80.490852
-0.618840,14.605954,76.280292
0.736260,10.254371,83.842182
4.906560,3.411724,73.966392
-19.954440,10.327926,81.146700
10.953840,15.071750,
11.693100,21.350889,84.079314
-17.682780,9.397910,77.083020
22.021560,9.060074,80.887284
20.332080,12.711064,73.706256
-13.168260,10.539476,88.246728
-6.831000,12.160003,79.095366
18.247920,9.444545,
16.651560,14.971925,82.682730
-18.123600,16.160786,74.910564
-27.462480,10.518038,76.533228
25.881360,24.514084,87.241608
22.952040,24.543174,88.594092
-13.701780,13.122007,81.583758
11.483460,9.758828,
