severity,urgency,target
02_low,02_soon,2
02_low,01_routine,2
02_low,03_urgent,2
02_low,02_soon,2
02_low,01_routine,2
02_low,03_urgent,2
02_low,02_soon,2
02_low,01_routine,2
02_low,03_urgent,2
02_low,02_soon,2
02_low,01_routine,2
02_low,03_urgent,2
02_low,02_soon,2
02_low,01_routine,2
02_low,03_urgent,2
02_low,02_soon,2
02_low,01_routine,2
02_low,03_urgent,2
02_low,02_soon,2
02_low,01_routine,2
02_low,03_urgent,2
02_low,02_soon,2
02_low,01_routine,2
02_low,03_urgent,2
02_low,02_soon,2
02_low,01_routine,2
02_low,03_urgent,2
02_low,02_soon,2
02_low,01_routine,2
02_low,03_urgent,2
02_low,02_soon,2
02_low,01_routine,2
02_low,03_urgent,2
02_low,02_soon,2
02_low,01_routine,2
02_low,03_urgent,2
02_low,02_soon,2
02_low,01_routine,2
02_low,03_urgent,2
02_low,02_soon,2
02_low,01_routine,2
02_low,03_urgent,2
02_low,02_soon,2
02_low,01_routine,2
02_low,03_urgent,2
02_low,02_soon,2
02_low,01_routine,2
02_low,03_urgent,2
02_low,02_soon,2
02_low,01_routine,2
02_low,03_urgent,2
02_low,02_soon,2
02_low,01_routine,2
02_low,03_urgent,2
02_low,02_soon,2
02_low,01_routine,2
02_low,03_urgent,2
02_low,02_soon,2
02_low,01_routine,2
02_low,03_urgent,2
02_low,02_soon,2
02_low,01_routine,2
02_low,03_urgent,2
02_low,02_soon,2
02_low,01_routine,2
02_low,03_urgent,2
02_low,02_soon,2
02_low,01_routine,2
02_low,03_urgent,2
02_low,02_soon,2
02_low,01_routine,2
02_low,03_urgent,2
02_low,02_soon,2
02_low,01_routine,2
02_low,03_urgent,2
02_low,02_soon,2
02_low,01_routine,2
02_low,03_urgent,2
02_low,02_soon,2
02_low,01_routine,2
02_low,03_urgent,2
02_low,02_soon,2
02_low,01_routine,2
02_low,03_urgent,2
02_low,02_soon,2
02_low,01_routine,2
02_low,03_urgent,2
02_low,02_soon,2
02_low,01_routine,2
02_low,03_urgent,2
02_low,02_soon,2
02_low,01_routine,2
02_low,03_urgent,2
02_low,02_soon,2
02_low,01_routine,2
02_low,03_urgent,2
02_low,02_soon,2
02_low,01_routine,2
02_low,03_urgent,2
02_low,02_soon,2
02_low,01_routine,2
02_low,03_urgent,2
02_low,02_soon,2
02_low,01_routine,2
02_low,03_urgent,2
02_low,02_soon,2
02_low,01_routine,2
02_low,03_urgent,2
02_low,02_soon,2
02_low,01_routine,2
02_low,03_urgent,2
02_low,02_soon,2
