severity,urgency,target
01_very_low,01_routine,1
01_very_low,03_urgent,1
01_very_low,02_soon,1
01_very_low,01_routine,1
01_very_low,03_urgent,1
01_very_low,02_soon,1
01_very_low,01_routine,1
01_very_low,03_urgent,1
01_very_low,02_soon,1
01_very_low,01_routine,1
01_very_low,03_urgent,1
01_very_low,02_soon,1
01_very_low,01_routine,1
01_very_low,03_urgent,1
01_very_low,02_soon,1
01_very_low,01_routine,1
01_very_low,03_urgent,1
01_very_low,02_soon,1
01_very_low,01_routine,1
01_very_low,03_urgent,1
01_very_low,02_soon,1
01_very_low,01_routine,1
01_very_low,03_urgent,1
01_very_low,02_soon,1
01_very_low,01_routine,1
01_very_low,03_urgent,1
01_very_low,02_soon,1
01_very_low,01_routine,1
01_very_low,03_urgent,1
01_very_low,02_soon,1
01_very_low,01_routine,1
01_very_low,03_urgent,1
01_very_low,02_soon,1
01_very_low,01_routine,1
01_very_low,03_urgent,1
01_very_low,02_soon,1
01_very_low,01_routine,1
01_very_low,03_urgent,1
01_very_low,02_soon,1
01_very_low,01_routine,1
01_very_low,03_urgent,1
01_very_low,02_soon,1
01_very_low,01_routine,1
01_very_low,03_urgent,1
01_very_low,02_soon,1
01_very_low,01_routine,1
01_very_low,03_urgent,1
01_very_low,02_soon,1
01_very_low,01_routine,1
01_very_low,03_urgent,1
01_very_low,02_soon,1
01_very_low,01_routine,1
01_very_low,03_urgent,1
01_very_low,02_soon,1
01_very_low,01_routine,1
01_very_low,03_urgent,1
01_very_low,02_soon,1
01_very_low,01_routine,1
01_very_low,03_urgent,1
01_very_low,02_soon,1
01_very_low,01_routine,1
01_very_low,03_urgent,1
01_very_low,02_soon,1
01_very_low,01_routine,1
01_very_low,03_urgent,1
01_very_low,02_soon,1
01_very_low,01_routine,1
01_very_low,03_urgent,1
01_very_low,02_soon,1
01_very_low,01_routine,1
01_very_low,03_urgent,1
01_very_low,02_soon,1
01_very_low,01_routine,1
01_very_low,03_urgent,1
01_very_low,02_soon,1
01_very_low,01_routine,1
01_very_low,03_urgent,1
01_very_low,02_soon,1
01_very_low,01_routine,1
01_very_low,03_urgent,1
01_very_low,02_soon,1
01_very_low,01_routine,1
01_very_low,03_urgent,1
01_very_low,02_soon,1
01_very_low,01_routine,1
01_very_low,03_urgent,1
01_very_low,02_soon,1
01_very_low,01_routine,1
01_very_low,03_urgent,1
01_very_low,02_soon,1
01_very_low,01_routine,1
01_very_low,03_urgent,1
01_very_low,02_soon,1
01_very_low,01_routine,1
01_very_low,03_urgent,1
01_very_low,02_soon,1
01_very_low,01_routine,1
01_very_low,03_urgent,1
01_very_low,02_soon,1
01_very_low,01_routine,1
01_very_low,03_urgent,1
01_very_low,02_soon,1
01_very_low,01_routine,1
01_very_low,03_urgent,1
01_very_low,02_soon,1
01_very_low,01_routine,1
01_very_low,03_urgent,1
01_very_low,02_soon,1
01_very_low,01_routine,1
01_very_low,03_urgent,1
01_very_low,02_soon,1
01_very_low,01_routine,1
