severity,urgency,target
03_medium,03_urgent,3
03_medium,02_soon,3
03_medium,01_routine,3
03_medium,03_urgent,3
03_medium,02_soon,3
03_medium,01_routine,3
03_medium,03_urgent,3
03_medium,02_soon,3
03_medium,01_routine,3
03_medium,03_urgent,3
03_medium,02_soon,3
03_medium,01_routine,3
03_medium,03_urgent,3
03_medium,02_soon,3
03_medium,01_routine,3
03_medium,03_urgent,3
03_medium,02_soon,3
03_medium,01_routine,3
03_medium,03_urgent,3
03_medium,02_soon,3
03_medium,01_routine,3
03_medium,03_urgent,3
03_medium,02_soon,3
03_medium,01_routine,3
03_medium,03_urgent,3
03_medium,02_soon,3
03_medium,01_routine,3
03_medium,03_urgent,3
03_medium,02_soon,3
03_medium,01_routine,3
03_medium,03_urgent,3
03_medium,02_soon,3
03_medium,01_routine,3
03_medium,03_urgent,3
03_medium,02_soon,3
03_medium,01_routine,3
03_medium,03_urgent,3
03_medium,02_soon,3
03_medium,01_routine,3
03_medium,03_urgent,3
03_medium,02_soon,3
03_medium,01_routine,3
03_medium,03_urgent,3
03_medium,02_soon,3
03_medium,01_routine,3
03_medium,03_urgent,3
03_medium,02_soon,3
03_medium,01_routine,3
03_medium,03_urgent,3
03_medium,02_soon,3
03_medium,01_routine,3
03_medium,03_urgent,3
03_medium,02_soon,3
03_medium,01_routine,3
03_medium,03_urgent,3
03_medium,02_soon,3
03_medium,01_routine,3
03_medium,03_urgent,3
03_medium,02_soon,3
03_medium,01_routine,3
03_medium,03_urgent,3
03_medium,02_soon,3
03_medium,01_routine,3
03_medium,03_urgent,3
03_medium,02_soon,3
03_medium,01_routine,3
03_medium,03_urgent,3
03_medium,02_soon,3
03_medium,01_routine,3
03_medium,03_urgent,3
03_medium,02_soon,3
03_medium,01_routine,3
03_medium,03_urgent,3
03_medium,02_soon,3
03_medium,01_routine,3
03_medium,03_urgent,3
03_medium,02_soon,3
03_medium,01_routine,3
03_medium,03_urgent,3
03_medium,02_soon,3
03_medium,01_routine,3
03_medium,03_urgent,3
03_medium,02_soon,3
03_medium,01_routine,3
03_medium,03_urgent,3
03_medium,02_soon,3
03_medium,01_routine,3
03_medium,03_urgent,3
03_medium,02_soon,3
03_medium,01_routine,3
03_medium,03_urgent,3
03_medium,02_soon,3
03_medium,01_routine,3
03_medium,03_urgent,3
03_medium,02_soon,3
03_medium,01_routine,3
03_medium,03_urgent,3
03_medium,02_soon,3
03_medium,01_routine,3
03_medium,03_urgent,3
03_medium,02_soon,3
03_medium,01_routine,3
03_medium,03_urgent,3
03_medium,02_soon,3
03_medium,01_routine,3
03_medium,03_urgent,3
03_medium,02_soon,3
03_medium,01_routine,3
03_medium,03_urgent,3
03_medium,02_soon,3
03_medium,01_routine,3
03_medium,03_urgent,3
