severity,urgency,target
05_very_high,02_soon,5
05_very_high,01_routine,5
05_very_high,03_urgent,5
05_very_high,02_soon,5
05_very_high,01_routine,5
05_very_high,03_urgent,5
05_very_high,02_soon,5
05_very_high,01_routine,5
05_very_high,03_urgent,5
05_very_high,02_soon,5
05_very_high,01_routine,5
05_very_high,03_urgent,5
05_very_high,02_soon,5
05_very_high,01_routine,5
05_very_high,03_urgent,5
05_very_high,02_soon,5
05_very_high,01_routine,5
05_very_high,03_urgent,5
05_very_high,02_soon,5
05_very_high,01_routine,5
05_very_high,03_urgent,5
05_very_high,02_soon,5
05_very_high,01_routine,5
05_very_high,03_urgent,5
05_very_high,02_soon,5
05_very_high,01_routine,5
05_very_high,03_urgent,5
05_very_high,02_soon,5
05_very_high,01_routine,5
05_very_high,03_urgent,5
05_very_high,02_soon,5
05_very_high,01_routine,5
05_very_high,03_urgent,5
05_very_high,02_soon,5
05_very_high,01_routine,5
05_very_high,03_urgent,5
05_very_high,02_soon,5
05_very_high,01_routine,5
05_very_high,03_urgent,5
05_very_high,02_soon,5
05_very_high,01_routine,5
05_very_high,03_urgent,5
05_very_high,02_soon,5
05_very_high,01_routine,5
05_very_high,03_urgent,5
05_very_high,02_soon,5
05_very_high,01_routine,5
05_very_high,03_urgent,5
05_very_high,02_soon,5
05_very_high,01_routine,5
05_very_high,03_urgent,5
05_very_high,02_soon,5
05_very_high,01_routine,5
05_very_high,03_urgent,5
05_very_high,02_soon,5
05_very_high,01_routine,5
05_very_high,03_urgent,5
05_very_high,02_soon,5
05_very_high,01_routine,5
05_very_high,03_urgent,5
05_very_high,02_soon,5
05_very_high,01_routine,5
05_very_high,03_urgent,5
05_very_high,02_soon,5
05_very_high,01_routine,5
05_very_high,03_urgent,5
05_very_high,02_soon,5
05_very_high,01_routine,5
05_very_high,03_urgent,5
05_very_high,02_soon,5
05_very_high,01_routine,5
05_very_high,03_urgent,5
05_very_high,02_soon,5
05_very_high,01_routine,5
05_very_high,03_urgent,5
05_very_high,02_soon,5
05_very_high,01_routine,5
05_very_high,03_urgent,5
05_very_high,02_soon,5
05_very_high,01_routine,5
05_very_high,03_urgent,5
05_very_high,02_soon,5
05_very_high,01_routine,5
05_very_high,03_urgent,5
05_very_high,02_soon,5
05_very_high,01_routine,5
05_very_high,03_urgent,5
05_very_high,02_soon,5
05_very_high,01_routine,5
05_very_high,03_urgent,5
05_very_high,02_soon,5
05_very_high,01_routine,5
05_very_high,03_urgent,5
05_very_high,02_soon,5
05_very_high,01_routine,5
05_very_high,03_urgent,5
05_very_high,02_soon,5
05_very_high,01_routine,5
05_very_high,03_urgent,5
05_very_high,02_soon,5
05_very_high,01_routine,5
05_very_high,03_urgent,5
05_very_high,02_soon,5
05_very_high,01_routine,5
05_very_high,03_urgent,5
05_very_high,02_soon,5
05_very_high,01_routine,5
05_very_high,03_urgent,5
05_very_high,02_soon,5
05_very_high,01_routine,5
05_very_high,03_urgent,5
05_very_high,02_soon,5
