input,label,weight
purple,0,0.974160
purple,1,0.279241
orange,0,0.997000
orange,1,0.659119
red,0,0.228995
green,1,0.228272
purple,0,
orange,1,0.002492
yellow,0,0.118295
orange,1,0.361449
purple,0,0.209212
yellow,1,0.433013
blue,0,0.966719
amber,1,
blue,0,0.972393
yellow,1,0.905966
teal,0,0.841519
teal,1,0.086687
amber,0,0.657130
blue,1,0.387002
amber,0,
purple,1,0.921925
green,0,0.540913
blue,1,0.986926
teal,0,0.986938
amber,1,0.505292
amber,0,0.858547
red,1,
blue,0,0.358013
green,1,0.571849
red,0,0.334115
red,1,0.411612
green,0,0.806936
blue,1,0.139151
yellow,0,
