input,label,weight
amber,1,0.987199
amber,0,0.631488
blue,1,0.311731
yellow,0,0.979807
red,1,0.932633
yellow,0,0.292072
purple,1,
purple,0,0.848852
teal,1,0.159551
green,0,0.748421
amber,1,0.245284
green,0,0.462854
amber,1,0.532933
red,0,
amber,1,0.562073
blue,0,0.712108
amber,1,0.424382
green,0,0.605677
amber,1,0.892219
teal,0,0.790008
red,1,
green,0,0.599968
yellow,1,0.671519
yellow,0,0.066207
amber,1,0.746075
teal,0,0.751319
amber,1,0.677273
teal,0,
blue,1,0.089191
red,0,0.368967
amber,1,0.416957
green,0,0.678668
blue,1,0.325367
teal,0,0.014244
amber,1,
