input,label,weight
yellow,0,0.919034
green,1,0.257119
yellow,0,0.923041
yellow,1,0.625872
orange,0,0.626260
green,1,0.656177
yellow,0,
red,1,0.288745
purple,0,0.227403
purple,1,0.945220
yellow,0,0.629710
red,1,0.237882
purple,0,0.051478
purple,1,
orange,0,0.436709
blue,1,0.585626
blue,0,0.592487
amber,1,0.522744
teal,0,0.976237
teal,1,0.428699
red,0,
amber,1,0.875010
yellow,0,0.391322
yellow,1,0.809938
purple,0,0.435821
green,1,0.874971
amber,0,0.008479
purple,1,
red,0,0.394314
green,1,0.681687
orange,0,0.208304
orange,1,0.001520
green,0,0.745469
orange,1,0.082252
yellow,0,
