input,load,cost
2024-01-03T21:00:00Z,30.500000,7.528576
2024-01-03T22:00:00Z,31.000000,8.834832
2024-01-03T23:00:00Z,31.500000,8.708448
2024-01-04T00:00:00Z,20.000000,8.969368
2024-01-04T01:00:00Z,20.500000,7.934544
2024-01-04T02:00:00Z,21.000000,7.036520
2024-01-04T03:00:00Z,21.500000,
2024-01-04T04:00:00Z,22.000000,5.690560
2024-01-04T05:00:00Z,22.500000,7.002656
2024-01-04T06:00:00Z,23.000000,5.572532
2024-01-04T07:00:00Z,23.500000,7.653640
2024-01-04T08:00:00Z,24.000000,6.567364
2024-01-04T09:00:00Z,24.500000,6.190620
2024-01-04T10:00:00Z,25.000000,
2024-01-04T11:00:00Z,25.500000,5.022744
2024-01-04T12:00:00Z,26.000000,5.099308
2024-01-04T13:00:00Z,26.500000,7.884672
2024-01-04T14:00:00Z,27.000000,7.169448
2024-01-04T15:00:00Z,27.500000,5.032292
2024-01-04T16:00:00Z,28.000000,8.819752
2024-01-04T17:00:00Z,28.500000,
2024-01-04T18:00:00Z,29.000000,7.058476
2024-01-04T19:00:00Z,29.500000,8.512276
