color,shape,target
red,circle,accept
blue,triangle,accept
red,square,accept
blue,circle,accept
red,triangle,accept
blue,square,accept
red,circle,accept
blue,triangle,accept
red,square,accept
blue,circle,accept
red,triangle,accept
blue,square,accept
red,circle,accept
blue,triangle,accept
red,square,accept
blue,circle,accept
red,triangle,accept
blue,square,accept
red,circle,accept
blue,triangle,accept
red,square,accept
blue,circle,accept
red,triangle,accept
blue,square,accept
red,circle,accept
blue,triangle,accept
red,square,accept
blue,circle,accept
red,triangle,accept
blue,square,accept
red,circle,accept
blue,triangle,accept
red,square,accept
blue,circle,accept
red,triangle,accept
blue,square,accept
red,circle,accept
blue,triangle,accept
red,square,accept
blue,circle,accept
red,triangle,accept
blue,square,accept
red,circle,accept
blue,triangle,accept
red,square,accept
blue,circle,accept
red,triangle,accept
blue,square,accept
red,circle,accept
blue,triangle,accept
red,square,accept
blue,circle,accept
red,triangle,accept
blue,square,accept
red,circle,accept
blue,triangle,accept
red,square,accept
blue,circle,accept
red,triangle,accept
blue,square,accept
red,circle,accept
blue,triangle,accept
red,square,accept
blue,circle,accept
red,triangle,accept
blue,square,accept
red,circle,accept
blue,triangle,accept
red,square,accept
blue,circle,accept
red,triangle,accept
blue,square,accept
red,circle,accept
blue,triangle,accept
red,square,accept
blue,circle,accept
red,triangle,accept
blue,square,accept
red,circle,accept
blue,triangle,accept
red,square,accept
blue,circle,accept
red,triangle,accept
blue,square,accept
red,circle,accept
blue,triangle,accept
red,square,accept
blue,circle,accept
red,triangle,accept
blue,square,accept
red,circle,accept
blue,triangle,accept
red,square,accept
blue,circle,accept
red,triangle,accept
blue,square,accept
red,circle,accept
blue,triangle,accept
red,square,accept
blue,circle,accept
red,triangle,accept
blue,square,accept
red,circle,accept
blue,triangle,accept
red,square,accept
blue,circle,accept
red,triangle,accept
blue,square,accept
red,circle,accept
blue,triangle,accept
red,square,accept
blue,circle,accept
red,triangle,accept
blue,square,accept
red,circle,accept
blue,triangle,accept
red,square,accept
blue,circle,accept
red,triangle,accept
blue,square,accept
red,circle,accept
blue,triangle,accept
red,square,accept
blue,circle,accept
red,triangle,accept
blue,square,accept
red,circle,accept
blue,triangle,accept
red,square,accept
blue,circle,accept
red,triangle,accept
blue,square,accept
red,circle,accept
blue,triangle,accept
red,square,accept
blue,circle,accept
red,triangle,accept
blue,square,accept
red,circle,accept
blue,triangle,accept
red,square,accept
blue,circle,accept
red,triangle,accept
blue,square,accept
red,circle,accept
blue,triangle,accept
red,square,accept
blue,circle,accept
red,triangle,accept
blue,square,accept
red,circle,accept
blue,triangle,accept
red,square,accept
blue,circle,accept
red,triangle,accept
blue,square,accept
red,circle,accept
blue,triangle,accept
red,square,accept
blue,circle,accept
red,triangle,accept
blue,square,accept
red,circle,accept
blue,triangle,accept
red,square,accept
blue,circle,accept
red,triangle,accept
blue,square,accept
red,circle,accept
blue,triangle,accept
red,square,accept
blue,circle,accept
red,triangle,accept
blue,square,accept
red,circle,accept
blue,triangle,accept
red,square,accept
blue,circle,accept
red,triangle,accept
blue,square,accept
red,circle,accept
blue,triangle,accept
red,square,accept
blue,circle,accept
red,triangle,accept
blue,square,accept
red,circle,accept
blue,triangle,accept
red,square,accept
blue,circle,accept
red,triangle,accept
blue,square,accept
red,circle,accept
blue,triangle,accept
red,square,accept
blue,circle,accept
red,triangle,accept
blue,square,accept
red,circle,accept
blue,triangle,accept
red,square,accept
blue,circle,accept
red,triangle,accept
blue,square,accept
red,circle,accept
blue,triangle,accept
red,square,accept
blue,circle,accept
red,triangle,accept
blue,square,accept
red,circle,accept
blue,triangle,accept
red,square,accept
blue,circle,accept
red,triangle,accept
blue,square,accept
red,circle,accept
blue,triangle,accept
red,square,accept
blue,circle,accept
red,triangle,accept
blue,square,accept
red,circle,accept
blue,triangle,accept
red,square,accept
blue,circle,accept
red,triangle,accept
blue,square,accept
red,circle,accept
blue,triangle,accept
red,square,accept
blue,circle,accept
red,triangle,accept
blue,square,accept
red,circle,accept
blue,triangle,accept
red,square,accept
blue,circle,accept
red,triangle,accept
blue,square,accept
