started,ended,load,cost
2024-01-02T11:00:00Z,2024-01-02T11:45:00Z,25.500000,5.707880
2024-01-02T12:00:00Z,2024-01-02T12:45:00Z,26.000000,7.350996
2024-01-02T13:00:00Z,2024-01-02T13:45:00Z,26.500000,5.450196
2024-01-02T14:00:00Z,2024-01-02T14:45:00Z,27.000000,5.071104
2024-01-02T15:00:00Z,2024-01-02T15:45:00Z,27.500000,8.583196
2024-01-02T16:00:00Z,2024-01-02T16:45:00Z,28.000000,5.650700
2024-01-02T17:00:00Z,2024-01-02T17:45:00Z,28.500000,
2024-01-02T18:00:00Z,2024-01-02T18:45:00Z,29.000000,6.021672
2024-01-02T19:00:00Z,2024-01-02T19:45:00Z,29.500000,5.347824
2024-01-02T20:00:00Z,2024-01-02T20:45:00Z,30.000000,6.816868
2024-01-02T21:00:00Z,2024-01-02T21:45:00Z,30.500000,6.122756
2024-01-02T22:00:00Z,2024-01-02T22:45:00Z,31.000000,5.861000
2024-01-02T23:00:00Z,2024-01-02T23:45:00Z,31.500000,6.931120
2024-01-03T00:00:00Z,2024-01-03T00:45:00Z,20.000000,
2024-01-03T01:00:00Z,2024-01-03T01:45:00Z,20.500000,5.282228
2024-01-03T02:00:00Z,2024-01-03T02:45:00Z,21.000000,8.102000
2024-01-03T03:00:00Z,2024-01-03T03:45:00Z,21.500000,6.625220
2024-01-03T04:00:00Z,2024-01-03T04:45:00Z,22.000000,8.231308
2024-01-03T05:00:00Z,2024-01-03T05:45:00Z,22.500000,7.972488
2024-01-03T06:00:00Z,2024-01-03T06:45:00Z,23.000000,5.088600
2024-01-03T07:00:00Z,2024-01-03T07:45:00Z,23.500000,
2024-01-03T08:00:00Z,2024-01-03T08:45:00Z,24.000000,5.148612
2024-01-03T09:00:00Z,2024-01-03T09:45:00Z,24.500000,8.029592
2024-01-03T10:00:00Z,2024-01-03T10:45:00Z,25.000000,8.190668
2024-01-03T11:00:00Z,2024-01-03T11:45:00Z,25.500000,5.069488
2024-01-03T12:00:00Z,2024-01-03T12:45:00Z,26.000000,5.985756
2024-01-03T13:00:00Z,2024-01-03T13:45:00Z,26.500000,7.736484
2024-01-03T14:00:00Z,2024-01-03T14:45:00Z,27.000000,
2024-01-03T15:00:00Z,2024-01-03T15:45:00Z,27.500000,7.635580
2024-01-03T16:00:00Z,2024-01-03T16:45:00Z,28.000000,8.220892
2024-01-03T17:00:00Z,2024-01-03T17:45:00Z,28.500000,7.732996
2024-01-03T18:00:00Z,2024-01-03T18:45:00Z,29.000000,7.638864
2024-01-03T19:00:00Z,2024-01-03T19:45:00Z,29.500000,6.092932
2024-01-03T20:00:00Z,2024-01-03T20:45:00Z,30.000000,8.295912
2024-01-03T21:00:00Z,2024-01-03T21:45:00Z,30.500000,
