severity,urgency,score,rank
05_very_high,02_soon,5,NaN
05_very_high,01_routine,5,1
05_very_high,03_urgent,5,6
05_very_high,02_soon,5,2
05_very_high,01_routine,5,7
05_very_high,03_urgent,5,3
05_very_high,02_soon,5,8
05_very_high,01_routine,5,4
05_very_high,03_urgent,5,9
05_very_high,02_soon,5,5
05_very_high,01_routine,5,1
05_very_high,03_urgent,5,6
05_very_high,02_soon,5,2
05_very_high,01_routine,5,7
05_very_high,03_urgent,5,3
05_very_high,02_soon,5,8
05_very_high,01_routine,5,NaN
05_very_high,03_urgent,5,9
05_very_high,02_soon,5,5
05_very_high,01_routine,5,1
05_very_high,03_urgent,5,6
05_very_high,02_soon,5,2
05_very_high,01_routine,5,7
05_very_high,03_urgent,5,3
05_very_high,02_soon,5,8
05_very_high,01_routine,5,4
05_very_high,03_urgent,5,9
05_very_high,02_soon,5,5
05_very_high,01_routine,5,1
05_very_high,03_urgent,5,6
05_very_high,02_soon,5,2
05_very_high,01_routine,5,7
05_very_high,03_urgent,5,3
05_very_high,02_soon,5,NaN
05_very_high,01_routine,5,4
05_very_high,03_urgent,5,9
05_very_high,02_soon,5,5
05_very_high,01_routine,5,1
05_very_high,03_urgent,5,6
05_very_high,02_soon,5,2
05_very_high,01_routine,5,7
05_very_high,03_urgent,5,3
05_very_high,02_soon,5,8
05_very_high,01_routine,5,4
05_very_high,03_urgent,5,9
05_very_high,02_soon,5,5
05_very_high,01_routine,5,1
05_very_high,03_urgent,5,6
05_very_high,02_soon,5,2
05_very_high,01_routine,5,7
05_very_high,03_urgent,5,NaN
05_very_high,02_soon,5,8
05_very_high,01_routine,5,4
05_very_high,03_urgent,5,9
05_very_high,02_soon,5,5
05_very_high,01_routine,5,1
05_very_high,03_urgent,5,6
05_very_high,02_soon,5,2
05_very_high,01_routine,5,7
05_very_high,03_urgent,5,3
05_very_high,02_soon,5,8
05_very_high,01_routine,5,4
05_very_high,03_urgent,5,9
05_very_high,02_soon,5,5
05_very_high,01_routine,5,1
05_very_high,03_urgent,5,6
05_very_high,02_soon,5,2
05_very_high,01_routine,5,NaN
05_very_high,03_urgent,5,3
05_very_high,02_soon,5,8
05_very_high,01_routine,5,4
05_very_high,03_urgent,5,9
05_very_high,02_soon,5,5
05_very_high,01_routine,5,1
05_very_high,03_urgent,5,6
05_very_high,02_soon,5,2
05_very_high,01_routine,5,7
05_very_high,03_urgent,5,3
05_very_high,02_soon,5,8
05_very_high,01_routine,5,4
05_very_high,03_urgent,5,9
05_very_high,02_soon,5,5
05_very_high,01_routine,5,1
05_very_high,03_urgent,5,6
05_very_high,02_soon,5,NaN
05_very_high,01_routine,5,7
05_very_high,03_urgent,5,3
05_very_high,02_soon,5,8
05_very_high,01_routine,5,4
05_very_high,03_urgent,5,9
05_very_high,02_soon,5,5
05_very_high,01_routine,5,1
05_very_high,03_urgent,5,6
05_very_high,02_soon,5,2
05_very_high,01_routine,5,7
05_very_high,03_urgent,5,3
05_very_high,02_soon,5,8
05_very_high,01_routine,5,4
05_very_high,03_urgent,5,9
05_very_high,02_soon,5,5
05_very_high,01_routine,5,1
05_very_high,03_urgent,5,NaN
05_very_high,02_soon,5,2
05_very_high,01_routine,5,7
05_very_high,03_urgent,5,3
05_very_high,02_soon,5,8
05_very_high,01_routine,5,4
05_very_high,03_urgent,5,9
05_very_high,02_soon,5,5
05_very_high,01_routine,5,1
05_very_high,03_urgent,5,6
05_very_high,02_soon,5,2
