severity,urgency,score,rank
01_very_low,01_routine,1,1
01_very_low,03_urgent,1,6
01_very_low,02_soon,1,2
01_very_low,01_routine,1,7
01_very_low,03_urgent,1,3
01_very_low,02_soon,1,8
01_very_low,01_routine,1,4
01_very_low,03_urgent,1,9
01_very_low,02_soon,1,5
01_very_low,01_routine,1,1
01_very_low,03_urgent,1,NaN
01_very_low,02_soon,1,2
01_very_low,01_routine,1,7
01_very_low,03_urgent,1,3
01_very_low,02_soon,1,8
01_very_low,01_routine,1,4
01_very_low,03_urgent,1,9
01_very_low,02_soon,1,5
01_very_low,01_routine,1,1
01_very_low,03_urgent,1,6
01_very_low,02_soon,1,2
01_very_low,01_routine,1,7
01_very_low,03_urgent,1,3
01_very_low,02_soon,1,8
01_very_low,01_routine,1,4
01_very_low,03_urgent,1,9
01_very_low,02_soon,1,5
01_very_low,01_routine,1,NaN
01_very_low,03_urgent,1,6
01_very_low,02_soon,1,2
01_very_low,01_routine,1,7
01_very_low,03_urgent,1,3
01_very_low,02_soon,1,8
01_very_low,01_routine,1,4
01_very_low,03_urgent,1,9
01_very_low,02_soon,1,5
01_very_low,01_routine,1,1
01_very_low,03_urgent,1,6
01_very_low,02_soon,1,2
01_very_low,01_routine,1,7
01_very_low,03_urgent,1,3
01_very_low,02_soon,1,8
01_very_low,01_routine,1,4
01_very_low,03_urgent,1,9
01_very_low,02_soon,1,NaN
01_very_low,01_routine,1,1
01_very_low,03_urgent,1,6
01_very_low,02_soon,1,2
01_very_low,01_routine,1,7
01_very_low,03_urgent,1,3
01_very_low,02_soon,1,8
01_very_low,01_routine,1,4
01_very_low,03_urgent,1,9
01_very_low,02_soon,1,5
01_very_low,01_routine,1,1
01_very_low,03_urgent,1,6
01_very_low,02_soon,1,2
01_very_low,01_routine,1,7
01_very_low,03_urgent,1,3
01_very_low,02_soon,1,8
01_very_low,01_routine,1,4
01_very_low,03_urgent,1,NaN
01_very_low,02_soon,1,5
01_very_low,01_routine,1,1
01_very_low,03_urgent,1,6
01_very_low,02_soon,1,2
01_very_low,01_routine,1,7
01_very_low,03_urgent,1,3
01_very_low,02_soon,1,8
01_very_low,01_routine,1,4
01_very_low,03_urgent,1,9
01_very_low,02_soon,1,5
01_very_low,01_routine,1,1
01_very_low,03_urgent,1,6
01_very_low,02_soon,1,2
01_very_low,01_routine,1,7
01_very_low,03_urgent,1,3
01_very_low,02_soon,1,8
01_very_low,01_routine,1,NaN
01_very_low,03_urgent,1,9
01_very_low,02_soon,1,5
01_very_low,01_routine,1,1
01_very_low,03_urgent,1,6
01_very_low,02_soon,1,2
01_very_low,01_routine,1,7
01_very_low,03_urgent,1,3
01_very_low,02_soon,1,8
01_very_low,01_routine,1,4
01_very_low,03_urgent,1,9
01_very_low,02_soon,1,5
01_very_low,01_routine,1,1
01_very_low,03_urgent,1,6
01_very_low,02_soon,1,2
01_very_low,01_routine,1,7
01_very_low,03_urgent,1,3
01_very_low,02_soon,1,NaN
01_very_low,01_routine,1,4
01_very_low,03_urgent,1,9
01_very_low,02_soon,1,5
01_very_low,01_routine,1,1
01_very_low,03_urgent,1,6
01_very_low,02_soon,1,2
01_very_low,01_routine,1,7
01_very_low,03_urgent,1,3
01_very_low,02_soon,1,8
01_very_low,01_routine,1,4
01_very_low,03_urgent,1,9
01_very_low,02_soon,1,5
01_very_low,01_routine,1,1
01_very_low,03_urgent,1,6
01_very_low,02_soon,1,2
01_very_low,01_routine,1,7
