severity,urgency,score,rank
04_high,01_routine,4,4
04_high,03_urgent,4,9
04_high,02_soon,4,5
04_high,01_routine,4,1
04_high,03_urgent,4,6
04_high,02_soon,4,2
04_high,01_routine,4,NaN
04_high,03_urgent,4,3
04_high,02_soon,4,8
04_high,01_routine,4,4
04_high,03_urgent,4,9
04_high,02_soon,4,5
04_high,01_routine,4,1
04_high,03_urgent,4,6
04_high,02_soon,4,2
04_high,01_routine,4,7
04_high,03_urgent,4,3
04_high,02_soon,4,8
04_high,01_routine,4,4
04_high,03_urgent,4,9
04_high,02_soon,4,5
04_high,01_routine,4,1
04_high,03_urgent,4,6
04_high,02_soon,4,NaN
04_high,01_routine,4,7
04_high,03_urgent,4,3
04_high,02_soon,4,8
04_high,01_routine,4,4
04_high,03_urgent,4,9
04_high,02_soon,4,5
04_high,01_routine,4,1
04_high,03_urgent,4,6
04_high,02_soon,4,2
04_high,01_routine,4,7
04_high,03_urgent,4,3
04_high,02_soon,4,8
04_high,01_routine,4,4
04_high,03_urgent,4,9
04_high,02_soon,4,5
04_high,01_routine,4,1
04_high,03_urgent,4,NaN
04_high,02_soon,4,2
04_high,01_routine,4,7
04_high,03_urgent,4,3
04_high,02_soon,4,8
04_high,01_routine,4,4
04_high,03_urgent,4,9
04_high,02_soon,4,5
04_high,01_routine,4,1
04_high,03_urgent,4,6
04_high,02_soon,4,2
04_high,01_routine,4,7
04_high,03_urgent,4,3
04_high,02_soon,4,8
04_high,01_routine,4,4
04_high,03_urgent,4,9
04_high,02_soon,4,5
04_high,01_routine,4,NaN
04_high,03_urgent,4,6
04_high,02_soon,4,2
04_high,01_routine,4,7
04_high,03_urgent,4,3
04_high,02_soon,4,8
04_high,01_routine,4,4
04_high,03_urgent,4,9
04_high,02_soon,4,5
04_high,01_routine,4,1
04_high,03_urgent,4,6
04_high,02_soon,4,2
04_high,01_routine,4,7
04_high,03_urgent,4,3
04_high,02_soon,4,8
04_high,01_routine,4,4
04_high,03_urgent,4,9
04_high,02_soon,4,NaN
04_high,01_routine,4,1
04_high,03_urgent,4,6
04_high,02_soon,4,2
04_high,01_routine,4,7
04_high,03_urgent,4,3
04_high,02_soon,4,8
04_high,01_routine,4,4
04_high,03_urgent,4,9
04_high,02_soon,4,5
04_high,01_routine,4,1
04_high,03_urgent,4,6
04_high,02_soon,4,2
04_high,01_routine,4,7
04_high,03_urgent,4,3
04_high,02_soon,4,8
04_high,01_routine,4,4
04_high,03_urgent,4,NaN
04_high,02_soon,4,5
04_high,01_routine,4,1
04_high,03_urgent,4,6
04_high,02_soon,4,2
04_high,01_routine,4,7
04_high,03_urgent,4,3
04_high,02_soon,4,8
04_high,01_routine,4,4
04_high,03_urgent,4,9
04_high,02_soon,4,5
04_high,01_routine,4,1
04_high,03_urgent,4,6
04_high,02_soon,4,2
04_high,01_routine,4,7
04_high,03_urgent,4,3
04_high,02_soon,4,8
04_high,01_routine,4,NaN
04_high,03_urgent,4,9
04_high,02_soon,4,5
04_high,01_routine,4,1
