severity,urgency,score,rank
02_low,02_soon,2,2
02_low,01_routine,2,7
02_low,03_urgent,2,3
02_low,02_soon,2,NaN
02_low,01_routine,2,4
02_low,03_urgent,2,9
02_low,02_soon,2,5
02_low,01_routine,2,1
02_low,03_urgent,2,6
02_low,02_soon,2,2
02_low,01_routine,2,7
02_low,03_urgent,2,3
02_low,02_soon,2,8
02_low,01_routine,2,4
02_low,03_urgent,2,9
02_low,02_soon,2,5
02_low,01_routine,2,1
02_low,03_urgent,2,6
02_low,02_soon,2,2
02_low,01_routine,2,7
02_low,03_urgent,2,NaN
02_low,02_soon,2,8
02_low,01_routine,2,4
02_low,03_urgent,2,9
02_low,02_soon,2,5
02_low,01_routine,2,1
02_low,03_urgent,2,6
02_low,02_soon,2,2
02_low,01_routine,2,7
02_low,03_urgent,2,3
02_low,02_soon,2,8
02_low,01_routine,2,4
02_low,03_urgent,2,9
02_low,02_soon,2,5
02_low,01_routine,2,1
02_low,03_urgent,2,6
02_low,02_soon,2,2
02_low,01_routine,2,NaN
02_low,03_urgent,2,3
02_low,02_soon,2,8
02_low,01_routine,2,4
02_low,03_urgent,2,9
02_low,02_soon,2,5
02_low,01_routine,2,1
02_low,03_urgent,2,6
02_low,02_soon,2,2
02_low,01_routine,2,7
02_low,03_urgent,2,3
02_low,02_soon,2,8
02_low,01_routine,2,4
02_low,03_urgent,2,9
02_low,02_soon,2,5
02_low,01_routine,2,1
02_low,03_urgent,2,6
02_low,02_soon,2,NaN
02_low,01_routine,2,7
02_low,03_urgent,2,3
02_low,02_soon,2,8
02_low,01_routine,2,4
02_low,03_urgent,2,9
02_low,02_soon,2,5
02_low,01_routine,2,1
02_low,03_urgent,2,6
02_low,02_soon,2,2
02_low,01_routine,2,7
02_low,03_urgent,2,3
02_low,02_soon,2,8
02_low,01_routine,2,4
02_low,03_urgent,2,9
02_low,02_soon,2,5
02_low,01_routine,2,1
02_low,03_urgent,2,NaN
02_low,02_soon,2,2
02_low,01_routine,2,7
02_low,03_urgent,2,3
02_low,02_soon,2,8
02_low,01_routine,2,4
02_low,03_urgent,2,9
02_low,02_soon,2,5
02_low,01_routine,2,1
02_low,03_urgent,2,6
02_low,02_soon,2,2
02_low,01_routine,2,7
02_low,03_urgent,2,3
02_low,02_soon,2,8
02_low,01_routine,2,4
02_low,03_urgent,2,9
02_low,02_soon,2,5
02_low,01_routine,2,NaN
02_low,03_urgent,2,6
02_low,02_soon,2,2
02_low,01_routine,2,7
02_low,03_urgent,2,3
02_low,02_soon,2,8
02_low,01_routine,2,4
02_low,03_urgent,2,9
02_low,02_soon,2,5
02_low,01_routine,2,1
02_low,03_urgent,2,6
02_low,02_soon,2,2
02_low,01_routine,2,7
02_low,03_urgent,2,3
02_low,02_soon,2,8
02_low,01_routine,2,4
02_low,03_urgent,2,9
02_low,02_soon,2,NaN
02_low,01_routine,2,1
02_low,03_urgent,2,6
02_low,02_soon,2,2
02_low,01_routine,2,7
02_low,03_urgent,2,3
02_low,02_soon,2,8
