color,shape,target
blue,triangle,1
teal,square,0
yellow,oval,1
amber,oval,0
amber,square,1
blue,square,0
purple,circle,1
orange,triangle,0
teal,hexagon,1
red,hexagon,0
amber,square,1
orange,triangle,0
green,star,1
red,square,0
teal,triangle,1
orange,star,0
blue,circle,1
yellow,triangle,0
blue,oval,1
amber,oval,0
green,square,1
teal,square,0
yellow,hexagon,1
red,triangle,0
red,triangle,1
purple,star,0
teal,hexagon,1
blue,hexagon,0
green,oval,1
blue,triangle,0
blue,square,1
green,hexagon,0
teal,square,1
amber,oval,0
red,star,1
