color,shape,target
orange,star,1
green,oval,0
yellow,star,1
orange,star,0
green,oval,1
purple,oval,0
teal,circle,1
yellow,circle,0
teal,triangle,1
green,star,0
yellow,square,1
yellow,triangle,0
yellow,square,1
blue,oval,0
blue,oval,1
red,square,0
blue,circle,1
green,hexagon,0
orange,star,1
orange,triangle,0
yellow,hexagon,1
purple,circle,0
purple,oval,1
teal,square,0
yellow,oval,1
amber,oval,0
purple,oval,1
amber,oval,0
red,oval,1
green,circle,0
green,square,1
green,square,0
teal,star,1
orange,triangle,0
yellow,triangle,1
