color,shape,target
purple,star,0
yellow,square,1
red,star,0
teal,star,1
blue,square,0
orange,circle,1
amber,circle,0
blue,star,1
purple,circle,0
amber,triangle,1
blue,triangle,0
amber,hexagon,1
teal,star,0
blue,square,1
amber,oval,0
blue,hexagon,1
teal,circle,0
teal,square,1
amber,hexagon,0
green,hexagon,1
purple,circle,0
teal,square,1
yellow,oval,0
blue,square,1
amber,hexagon,0
purple,star,1
amber,square,0
green,oval,1
teal,star,0
red,triangle,1
teal,star,0
teal,square,1
green,oval,0
teal,hexagon,1
purple,circle,0
