input,load,cost
2024-01-04T20:00:00Z,30.000000,8.995964
2024-01-04T21:00:00Z,30.500000,5.912368
2024-01-04T22:00:00Z,31.000000,7.600712
2024-01-04T23:00:00Z,31.500000,7.410560
2024-01-05T00:00:00Z,20.000000,7.522456
2024-01-05T01:00:00Z,20.500000,8.894112
2024-01-05T02:00:00Z,21.000000,
2024-01-05T03:00:00Z,21.500000,6.522396
2024-01-05T04:00:00Z,22.000000,7.689088
2024-01-05T05:00:00Z,22.500000,6.967492
2024-01-05T06:00:00Z,23.000000,5.956316
2024-01-05T07:00:00Z,23.500000,7.725428
2024-01-05T08:00:00Z,24.000000,8.709344
2024-01-05T09:00:00Z,24.500000,
2024-01-05T10:00:00Z,25.000000,7.338792
2024-01-05T11:00:00Z,25.500000,5.845056
2024-01-05T12:00:00Z,26.000000,5.919492
2024-01-05T13:00:00Z,26.500000,5.474756
2024-01-05T14:00:00Z,27.000000,6.457012
2024-01-05T15:00:00Z,27.500000,8.477004
2024-01-05T16:00:00Z,28.000000,
2024-01-05T17:00:00Z,28.500000,7.530440
2024-01-05T18:00:00Z,29.000000,7.346052
