pressure,flow,target
36.763160,78.459490,22.551213
32.841760,29.365930,16.073297
4.858080,93.502360,11.293468
39.410160,73.103050,23.074369
20.012520,97.400080,17.745016
15.370120,75.229120,13.670960
2.627320,54.095500,6.460478
11.650760,29.583100,7.618614
34.236560,30.319300,16.726554
22.558040,22.902040,11.313420
0.523040,21.649690,2.374185
9.175920,32.356900,6.906058
6.371200,88.143040,11.362784
25.625480,46.961920,14.946384
6.571640,45.787780,7.207434
25.859120,73.380790,17.681727
23.541600,49.929400,14.409580
4.749920,33.882310,5.288199
22.965240,21.758590,11.361955
35.482920,52.353460,19.428514
27.693000,82.373320,19.314532
36.385280,71.932870,21.747399
34.552040,43.220260,18.142842
0.458320,25.593760,2.742704
38.310280,98.257060,25.149818
21.781600,49.539880,13.666628
23.850560,65.089540,16.049178
24.920560,33.937390,13.361963
39.555560,54.433000,21.265524
12.284320,60.870880,11.000816
4.480840,90.972550,10.889591
24.745000,34.855930,13.383593
13.368800,43.430050,9.690525
29.425200,37.655920,15.535672
7.760160,32.459410,6.350005
