pressure,flow,target
21.762800,20.501650,10.755285
8.160440,42.600250,7.524201
10.063840,98.565850,13.882121
35.527360,35.802640,17.791208
26.515600,45.471070,15.153347
24.632680,99.936280,19.846700
26.317520,36.929170,14.219925
6.265200,63.078760,8.813956
24.175360,55.790470,15.249191
24.934240,79.830910,17.956787
5.399920,40.772980,6.237266
37.975080,99.565570,25.146589
6.680200,21.182860,4.790366
25.137480,50.960800,15.151072
32.322920,25.785550,15.507723
4.076120,19.908640,3.621312
25.562440,63.659620,16.590938
10.633400,37.835290,8.036889
7.998800,95.546440,12.754164
38.357160,18.646390,17.207503
33.072440,63.352810,19.564257
38.049920,23.047840,17.524752
0.226040,26.046730,2.695089
38.396080,90.652960,24.423728
0.189600,87.052690,8.781109
28.737000,81.795790,19.674379
32.341160,32.713660,16.207830
30.523200,97.890220,21.998302
29.761440,91.873720,21.091948
17.700840,50.299570,12.110293
11.712600,97.032070,14.388247
36.171640,83.253250,22.793981
16.282160,14.194090,7.932273
12.210120,84.500020,13.334050
6.400080,77.856490,10.345681
