input,label,weight
red,accept,0.5000
blue,accept,0.6000
red,accept,0.7000
blue,accept,0.8000
red,accept,0.9000
blue,accept,1.0000
red,accept,0.5500
blue,accept,0.6500
red,accept,NaN
blue,accept,0.8500
red,accept,0.9500
blue,accept,0.5000
red,accept,0.6000
blue,accept,0.7000
red,accept,0.8000
blue,accept,0.9000
red,accept,1.0000
blue,accept,0.5500
red,accept,0.6500
blue,accept,0.7500
red,accept,0.8500
blue,accept,0.9500
red,accept,0.5000
blue,accept,0.6000
red,accept,0.7000
blue,accept,NaN
red,accept,0.9000
blue,accept,1.0000
red,accept,0.5500
blue,accept,0.6500
red,accept,0.7500
blue,accept,0.8500
red,accept,0.9500
blue,accept,0.5000
red,accept,0.6000
blue,accept,0.7000
red,accept,0.8000
blue,accept,0.9000
red,accept,1.0000
blue,accept,0.5500
red,accept,0.6500
blue,accept,0.7500
red,accept,NaN
blue,accept,0.9500
red,accept,0.5000
blue,accept,0.6000
red,accept,0.7000
blue,accept,0.8000
red,accept,0.9000
blue,accept,1.0000
red,accept,0.5500
blue,accept,0.6500
red,accept,0.7500
blue,accept,0.8500
red,accept,0.9500
blue,accept,0.5000
red,accept,0.6000
blue,accept,0.7000
red,accept,0.8000
blue,accept,NaN
red,accept,1.0000
blue,accept,0.5500
red,accept,0.6500
blue,accept,0.7500
red,accept,0.8500
blue,accept,0.9500
red,accept,0.5000
blue,accept,0.6000
red,accept,0.7000
blue,accept,0.8000
red,accept,0.9000
blue,accept,1.0000
red,accept,0.5500
blue,accept,0.6500
red,accept,0.7500
blue,accept,0.8500
red,accept,NaN
blue,accept,0.5000
red,accept,0.6000
blue,accept,0.7000
red,accept,0.8000
blue,accept,0.9000
red,accept,1.0000
blue,accept,0.5500
red,accept,0.6500
blue,accept,0.7500
red,accept,0.8500
blue,accept,0.9500
red,accept,0.5000
blue,accept,0.6000
red,accept,0.7000
blue,accept,0.8000
red,accept,0.9000
blue,accept,NaN
red,accept,0.5500
blue,accept,0.6500
red,accept,0.7500
blue,accept,0.8500
red,accept,0.9500
blue,accept,0.5000
red,accept,0.6000
blue,accept,0.7000
red,accept,0.8000
blue,accept,0.9000
red,accept,1.0000
blue,accept,0.5500
red,accept,0.6500
blue,accept,0.7500
red,accept,0.8500
blue,accept,0.9500
red,accept,NaN
blue,accept,0.6000
red,accept,0.7000
blue,accept,0.8000
red,accept,0.9000
blue,accept,1.0000
red,accept,0.5500
blue,accept,0.6500
red,accept,0.7500
blue,accept,0.8500
red,accept,0.9500
blue,accept,0.5000
red,accept,0.6000
blue,accept,0.7000
red,accept,0.8000
blue,accept,0.9000
red,accept,1.0000
blue,accept,NaN
red,accept,0.6500
blue,accept,0.7500
red,accept,0.8500
blue,accept,0.9500
red,accept,0.5000
blue,accept,0.6000
red,accept,0.7000
blue,accept,0.8000
red,accept,0.9000
blue,accept,1.0000
red,accept,0.5500
blue,accept,0.6500
red,accept,0.7500
blue,accept,0.8500
red,accept,0.9500
blue,accept,0.5000
red,accept,NaN
blue,accept,0.7000
red,accept,0.8000
blue,accept,0.9000
red,accept,1.0000
blue,accept,0.5500
red,accept,0.6500
blue,accept,0.7500
red,accept,0.8500
blue,accept,0.9500
red,accept,0.5000
blue,accept,0.6000
red,accept,0.7000
blue,accept,0.8000
red,accept,0.9000
blue,accept,1.0000
red,accept,0.5500
blue,accept,NaN
red,accept,0.7500
blue,accept,0.8500
red,accept,0.9500
blue,accept,0.5000
red,accept,0.6000
blue,accept,0.7000
red,accept,0.8000
blue,accept,0.9000
red,accept,1.0000
blue,accept,0.5500
red,accept,0.6500
blue,accept,0.7500
red,accept,0.8500
blue,accept,0.9500
red,accept,0.5000
blue,accept,0.6000
red,accept,NaN
blue,accept,0.8000
red,accept,0.9000
blue,accept,1.0000
red,accept,0.5500
blue,accept,0.6500
red,accept,0.7500
blue,accept,0.8500
red,accept,0.9500
blue,accept,0.5000
red,accept,0.6000
blue,accept,0.7000
red,accept,0.8000
blue,accept,0.9000
red,accept,1.0000
blue,accept,0.5500
red,accept,0.6500
blue,accept,NaN
red,accept,0.8500
blue,accept,0.9500
red,accept,0.5000
blue,accept,0.6000
red,accept,0.7000
blue,accept,0.8000
red,accept,0.9000
blue,accept,1.0000
red,accept,0.5500
blue,accept,0.6500
red,accept,0.7500
blue,accept,0.8500
red,accept,0.9500
blue,accept,0.5000
red,accept,0.6000
blue,accept,0.7000
red,accept,NaN
blue,accept,0.9000
red,accept,1.0000
blue,accept,0.5500
red,accept,0.6500
blue,accept,0.7500
red,accept,0.8500
blue,accept,0.9500
red,accept,0.5000
blue,accept,0.6000
red,accept,0.7000
blue,accept,0.8000
red,accept,0.9000
blue,accept,1.0000
red,accept,0.5500
blue,accept,0.6500
red,accept,0.7500
blue,accept,NaN
red,accept,0.9500
blue,accept,0.5000
red,accept,0.6000
blue,accept,0.7000
red,accept,0.8000
blue,accept,0.9000
red,accept,1.0000
blue,accept,0.5500
red,accept,0.6500
blue,accept,0.7500
