input,score,rank
05_very_high,5,NaN
05_very_high,5,1
05_very_high,5,6
05_very_high,5,2
05_very_high,5,7
05_very_high,5,3
05_very_high,5,8
05_very_high,5,4
05_very_high,5,9
05_very_high,5,5
05_very_high,5,1
05_very_high,5,6
05_very_high,5,2
05_very_high,5,7
05_very_high,5,3
05_very_high,5,8
05_very_high,5,NaN
05_very_high,5,9
05_very_high,5,5
05_very_high,5,1
05_very_high,5,6
05_very_high,5,2
05_very_high,5,7
05_very_high,5,3
05_very_high,5,8
05_very_high,5,4
05_very_high,5,9
05_very_high,5,5
05_very_high,5,1
05_very_high,5,6
05_very_high,5,2
05_very_high,5,7
05_very_high,5,3
05_very_high,5,NaN
05_very_high,5,4
05_very_high,5,9
05_very_high,5,5
05_very_high,5,1
05_very_high,5,6
05_very_high,5,2
05_very_high,5,7
05_very_high,5,3
05_very_high,5,8
05_very_high,5,4
05_very_high,5,9
05_very_high,5,5
05_very_high,5,1
05_very_high,5,6
05_very_high,5,2
05_very_high,5,7
05_very_high,5,NaN
05_very_high,5,8
05_very_high,5,4
05_very_high,5,9
05_very_high,5,5
05_very_high,5,1
05_very_high,5,6
05_very_high,5,2
05_very_high,5,7
05_very_high,5,3
05_very_high,5,8
05_very_high,5,4
05_very_high,5,9
05_very_high,5,5
05_very_high,5,1
05_very_high,5,6
05_very_high,5,2
05_very_high,5,NaN
05_very_high,5,3
05_very_high,5,8
05_very_high,5,4
05_very_high,5,9
05_very_high,5,5
05_very_high,5,1
05_very_high,5,6
05_very_high,5,2
05_very_high,5,7
05_very_high,5,3
05_very_high,5,8
05_very_high,5,4
05_very_high,5,9
05_very_high,5,5
05_very_high,5,1
05_very_high,5,6
05_very_high,5,NaN
05_very_high,5,7
05_very_high,5,3
05_very_high,5,8
05_very_high,5,4
05_very_high,5,9
05_very_high,5,5
05_very_high,5,1
05_very_high,5,6
05_very_high,5,2
05_very_high,5,7
05_very_high,5,3
05_very_high,5,8
05_very_high,5,4
05_very_high,5,9
05_very_high,5,5
05_very_high,5,1
05_very_high,5,NaN
05_very_high,5,2
05_very_high,5,7
05_very_high,5,3
05_very_high,5,8
05_very_high,5,4
05_very_high,5,9
05_very_high,5,5
05_very_high,5,1
05_very_high,5,6
05_very_high,5,2
