input,score,rank
01_very_low,1,1
01_very_low,1,6
01_very_low,1,2
01_very_low,1,7
01_very_low,1,3
01_very_low,1,8
01_very_low,1,4
01_very_low,1,9
01_very_low,1,5
01_very_low,1,1
01_very_low,1,NaN
01_very_low,1,2
01_very_low,1,7
01_very_low,1,3
01_very_low,1,8
01_very_low,1,4
01_very_low,1,9
01_very_low,1,5
01_very_low,1,1
01_very_low,1,6
01_very_low,1,2
01_very_low,1,7
01_very_low,1,3
01_very_low,1,8
01_very_low,1,4
01_very_low,1,9
01_very_low,1,5
01_very_low,1,NaN
01_very_low,1,6
01_very_low,1,2
01_very_low,1,7
01_very_low,1,3
01_very_low,1,8
01_very_low,1,4
01_very_low,1,9
01_very_low,1,5
01_very_low,1,1
01_very_low,1,6
01_very_low,1,2
01_very_low,1,7
01_very_low,1,3
01_very_low,1,8
01_very_low,1,4
01_very_low,1,9
01_very_low,1,NaN
01_very_low,1,1
01_very_low,1,6
01_very_low,1,2
01_very_low,1,7
01_very_low,1,3
01_very_low,1,8
01_very_low,1,4
01_very_low,1,9
01_very_low,1,5
01_very_low,1,1
01_very_low,1,6
01_very_low,1,2
01_very_low,1,7
01_very_low,1,3
01_very_low,1,8
01_very_low,1,4
01_very_low,1,NaN
01_very_low,1,5
01_very_low,1,1
01_very_low,1,6
01_very_low,1,2
01_very_low,1,7
01_very_low,1,3
01_very_low,1,8
01_very_low,1,4
01_very_low,1,9
01_very_low,1,5
01_very_low,1,1
01_very_low,1,6
01_very_low,1,2
01_very_low,1,7
01_very_low,1,3
01_very_low,1,8
01_very_low,1,NaN
01_very_low,1,9
01_very_low,1,5
01_very_low,1,1
01_very_low,1,6
01_very_low,1,2
01_very_low,1,7
01_very_low,1,3
01_very_low,1,8
01_very_low,1,4
01_very_low,1,9
01_very_low,1,5
01_very_low,1,1
01_very_low,1,6
01_very_low,1,2
01_very_low,1,7
01_very_low,1,3
01_very_low,1,NaN
01_very_low,1,4
01_very_low,1,9
01_very_low,1,5
01_very_low,1,1
01_very_low,1,6
01_very_low,1,2
01_very_low,1,7
01_very_low,1,3
01_very_low,1,8
01_very_low,1,4
01_very_low,1,9
01_very_low,1,5
01_very_low,1,1
01_very_low,1,6
01_very_low,1,2
01_very_low,1,7
