input,score,rank
03_medium,3,3
03_medium,3,8
03_medium,3,4
03_medium,3,9
03_medium,3,5
03_medium,3,1
03_medium,3,6
03_medium,3,2
03_medium,3,7
03_medium,3,3
03_medium,3,8
03_medium,3,4
03_medium,3,9
03_medium,3,NaN
03_medium,3,1
03_medium,3,6
03_medium,3,2
03_medium,3,7
03_medium,3,3
03_medium,3,8
03_medium,3,4
03_medium,3,9
03_medium,3,5
03_medium,3,1
03_medium,3,6
03_medium,3,2
03_medium,3,7
03_medium,3,3
03_medium,3,8
03_medium,3,4
03_medium,3,NaN
03_medium,3,5
03_medium,3,1
03_medium,3,6
03_medium,3,2
03_medium,3,7
03_medium,3,3
03_medium,3,8
03_medium,3,4
03_medium,3,9
03_medium,3,5
03_medium,3,1
03_medium,3,6
03_medium,3,2
03_medium,3,7
03_medium,3,3
03_medium,3,8
03_medium,3,NaN
03_medium,3,9
03_medium,3,5
03_medium,3,1
03_medium,3,6
03_medium,3,2
03_medium,3,7
03_medium,3,3
03_medium,3,8
03_medium,3,4
03_medium,3,9
03_medium,3,5
03_medium,3,1
03_medium,3,6
03_medium,3,2
03_medium,3,7
03_medium,3,3
03_medium,3,NaN
03_medium,3,4
03_medium,3,9
03_medium,3,5
03_medium,3,1
03_medium,3,6
03_medium,3,2
03_medium,3,7
03_medium,3,3
03_medium,3,8
03_medium,3,4
03_medium,3,9
03_medium,3,5
03_medium,3,1
03_medium,3,6
03_medium,3,2
03_medium,3,7
03_medium,3,NaN
03_medium,3,8
03_medium,3,4
03_medium,3,9
03_medium,3,5
03_medium,3,1
03_medium,3,6
03_medium,3,2
03_medium,3,7
03_medium,3,3
03_medium,3,8
03_medium,3,4
03_medium,3,9
03_medium,3,5
03_medium,3,1
03_medium,3,6
03_medium,3,2
03_medium,3,NaN
03_medium,3,3
03_medium,3,8
03_medium,3,4
03_medium,3,9
03_medium,3,5
03_medium,3,1
03_medium,3,6
03_medium,3,2
03_medium,3,7
03_medium,3,3
03_medium,3,8
03_medium,3,4
03_medium,3,9
03_medium,3,3
03_medium,3,8
03_medium,3,4
03_medium,3,9
03_medium,3,5
03_medium,3,1
03_medium,3,6
03_medium,3,2
03_medium,3,7
03_medium,3,3
03_medium,3,8
03_medium,3,4
03_medium,3,9
03_medium,3,NaN
03_medium,3,1
