color,shape,label,weight
green,square,review,NaN
amber,circle,review,0.6500
green,triangle,review,0.7500
amber,square,review,0.8500
green,circle,review,0.9500
amber,triangle,review,0.5000
green,square,review,0.6000
amber,circle,review,0.7000
green,triangle,review,0.8000
amber,square,review,0.9000
green,circle,review,1.0000
amber,triangle,review,0.5500
green,square,review,0.6500
amber,circle,review,0.7500
green,triangle,review,0.8500
amber,square,review,0.9500
green,circle,review,NaN
amber,triangle,review,0.6000
green,square,review,0.7000
amber,circle,review,0.8000
green,triangle,review,0.9000
amber,square,review,1.0000
green,circle,review,0.5500
amber,triangle,review,0.6500
green,square,review,0.7500
amber,circle,review,0.8500
green,triangle,review,0.9500
amber,square,review,0.5000
green,circle,review,0.6000
amber,triangle,review,0.7000
green,square,review,0.8000
amber,circle,review,0.9000
green,triangle,review,1.0000
amber,square,review,NaN
green,circle,review,0.6500
amber,triangle,review,0.7500
green,square,review,0.8500
amber,circle,review,0.9500
green,triangle,review,0.5000
amber,square,review,0.6000
green,circle,review,0.7000
amber,triangle,review,0.8000
green,square,review,0.9000
amber,circle,review,1.0000
green,triangle,review,0.5500
amber,square,review,0.6500
green,circle,review,0.7500
amber,triangle,review,0.8500
green,square,review,0.9500
amber,circle,review,0.5000
green,triangle,review,NaN
amber,square,review,0.7000
green,circle,review,0.8000
amber,triangle,review,0.9000
green,square,review,1.0000
amber,circle,review,0.5500
green,triangle,review,0.6500
amber,square,review,0.7500
green,circle,review,0.8500
amber,triangle,review,0.9500
green,square,review,0.5000
amber,circle,review,0.6000
green,triangle,review,0.7000
amber,square,review,0.8000
green,circle,review,0.9000
amber,triangle,review,1.0000
green,square,review,0.5500
amber,circle,review,NaN
green,triangle,review,0.7500
amber,square,review,0.8500
green,circle,review,0.9500
amber,triangle,review,0.5000
green,square,review,0.6000
amber,circle,review,0.7000
green,triangle,review,0.8000
amber,square,review,0.9000
green,circle,review,1.0000
amber,triangle,review,0.5500
green,square,review,0.6500
amber,circle,review,0.7500
green,triangle,review,0.8500
amber,square,review,0.9500
green,circle,review,0.5000
amber,triangle,review,0.6000
green,square,review,NaN
amber,circle,review,0.8000
green,triangle,review,0.9000
amber,square,review,1.0000
green,circle,review,0.5500
amber,triangle,review,0.6500
green,square,review,0.7500
amber,circle,review,0.8500
green,triangle,review,0.9500
amber,square,review,0.5000
green,circle,review,0.6000
amber,triangle,review,0.7000
green,square,review,0.8000
amber,circle,review,0.9000
green,triangle,review,1.0000
amber,square,review,0.5500
green,circle,review,0.6500
amber,triangle,review,NaN
green,square,review,0.8500
amber,circle,review,0.9500
green,triangle,review,0.5000
amber,square,review,0.6000
green,circle,review,0.7000
amber,triangle,review,0.8000
green,square,review,0.9000
amber,circle,review,1.0000
green,triangle,review,0.5500
amber,square,review,0.6500
green,circle,review,0.7500
amber,triangle,review,0.8500
green,square,review,0.9500
amber,circle,review,0.5000
green,triangle,review,0.6000
amber,square,review,0.7000
green,circle,review,NaN
amber,triangle,review,0.9000
green,square,review,1.0000
amber,circle,review,0.5500
green,triangle,review,0.6500
amber,square,review,0.7500
green,circle,review,0.8500
amber,triangle,review,0.9500
green,square,review,0.5000
amber,circle,review,0.6000
green,triangle,review,0.7000
amber,square,review,0.8000
green,circle,review,0.9000
amber,triangle,review,1.0000
green,square,review,0.5500
amber,circle,review,0.6500
green,triangle,review,0.7500
amber,square,review,NaN
green,circle,review,0.9500
amber,triangle,review,0.5000
green,square,review,0.6000
amber,circle,review,0.7000
green,triangle,review,0.8000
amber,square,review,0.9000
green,circle,review,1.0000
amber,triangle,review,0.5500
green,square,review,0.6500
amber,circle,review,0.7500
green,triangle,review,0.8500
amber,square,review,0.9500
green,circle,review,0.5000
amber,triangle,review,0.6000
green,square,review,0.7000
amber,circle,review,0.8000
green,triangle,review,NaN
amber,square,review,1.0000
green,circle,review,0.5500
amber,triangle,review,0.6500
green,square,review,0.7500
amber,circle,review,0.8500
green,triangle,review,0.9500
amber,square,review,0.5000
green,circle,review,0.6000
amber,triangle,review,0.7000
green,square,review,0.8000
amber,circle,review,0.9000
green,triangle,review,1.0000
amber,square,review,0.5500
green,circle,review,0.6500
amber,triangle,review,0.7500
green,square,review,0.8500
amber,circle,review,NaN
green,triangle,review,0.5000
amber,square,review,0.6000
green,circle,review,0.7000
amber,triangle,review,0.8000
green,square,review,0.9000
amber,circle,review,1.0000
green,triangle,review,0.5500
amber,square,review,0.6500
green,circle,review,0.7500
amber,triangle,review,0.8500
green,square,review,0.9500
amber,circle,review,0.5000
green,triangle,review,0.6000
amber,square,review,0.7000
green,circle,review,0.8000
amber,triangle,review,0.9000
green,square,review,NaN
amber,circle,review,0.5500
green,triangle,review,0.6500
amber,square,review,0.7500
green,circle,review,0.8500
amber,triangle,review,0.9500
green,square,review,0.5000
amber,circle,review,0.6000
green,triangle,review,0.7000
amber,square,review,0.8000
green,circle,review,0.9000
amber,triangle,review,1.0000
green,square,review,0.5500
amber,circle,review,0.6500
green,triangle,review,0.7500
amber,square,review,0.8500
green,circle,review,0.9500
amber,triangle,review,NaN
green,square,review,0.6000
amber,circle,review,0.7000
green,triangle,review,0.8000
amber,square,review,0.9000
green,circle,review,1.0000
amber,triangle,review,0.5500
green,square,review,0.6500
amber,circle,review,0.7500
green,triangle,review,0.8500
amber,square,review,0.9500
green,circle,review,0.5000
amber,triangle,review,0.6000
green,square,review,0.7000
amber,circle,review,0.8000
green,triangle,review,0.9000
amber,square,review,1.0000
green,circle,review,NaN
amber,triangle,review,0.6500
green,square,review,0.7500
amber,circle,review,0.8500
green,triangle,review,0.9500
amber,square,review,0.5000
green,circle,review,0.6000
amber,triangle,review,0.7000
green,square,review,0.8000
amber,circle,review,0.9000
green,triangle,review,1.0000
amber,square,review,0.5500
green,circle,review,0.6500
amber,triangle,review,0.7500
green,square,review,0.8500
amber,circle,review,0.9500
green,triangle,review,0.5000
amber,square,review,NaN
green,circle,review,0.7000
amber,triangle,review,0.8000
