input,load,cost
2024-01-01T23:00:00Z,31.500000,5.765580
2024-01-02T00:00:00Z,20.000000,6.283236
2024-01-02T01:00:00Z,20.500000,8.310896
2024-01-02T02:00:00Z,21.000000,6.257020
2024-01-02T03:00:00Z,21.500000,6.611548
2024-01-02T04:00:00Z,22.000000,8.489280
2024-01-02T05:00:00Z,22.500000,
2024-01-02T06:00:00Z,23.000000,8.191504
2024-01-02T07:00:00Z,23.500000,5.578120
2024-01-02T08:00:00Z,24.000000,7.441344
2024-01-02T09:00:00Z,24.500000,6.809688
2024-01-02T10:00:00Z,25.000000,8.665880
2024-01-02T11:00:00Z,25.500000,5.888448
2024-01-02T12:00:00Z,26.000000,
2024-01-02T13:00:00Z,26.500000,6.879048
2024-01-02T14:00:00Z,27.000000,6.730928
2024-01-02T15:00:00Z,27.500000,6.118808
2024-01-02T16:00:00Z,28.000000,5.380600
2024-01-02T17:00:00Z,28.500000,8.410796
2024-01-02T18:00:00Z,29.000000,6.432660
2024-01-02T19:00:00Z,29.500000,
2024-01-02T20:00:00Z,30.000000,7.926176
2024-01-02T21:00:00Z,30.500000,6.120328
